damageDealtToTurrets,neutralMinionsKilledTeamJungle,quadraKills,magicalDamageTaken,season,firstTowerKill,firstInhibitorKill,perk2Var2,firstTowerAssist,perk2,role,win,unrealKills,perk3,doubleKills,item2,item5,lane,largestCriticalStrike,totalDamageDealt,perk2Var3,playerScore7,perk0Var1,damageDealtToObjectives,neutralMinionsKilledEnemyJungle,tripleKills,magicDamageDealt,totalTimeCrowdControlDealt,totalMinionsKilled,trueDamageTaken,totalUnitsHealed,perk0,playerScore6,timestamp,firstBloodAssist,trueDamageDealt,perk2Var1,perk1Var2,champion,killingSprees,perk4,gameId,perk5,visionScore,assists,perk1Var1,perk5Var3,magicDamageDealtToChampions,perk0Var3,champLevel,firstInhibitorAssist,item3,perk5Var1,perk3Var1,physicalDamageDealt,participantId,perk0Var2,longestTimeSpentLiving,playerScore4,largestMultiKill,item4,totalPlayerScore,queue,objectivePlayerScore,firstBloodKill,totalDamageTaken,item1,playerScore9,timeCCingOthers,item6,inhibitorKills,damageSelfMitigated,playerScore2,wardsPlaced,goldSpent,pentaKills,playerScore8,perk3Var3,physicalDamageTaken,perk4Var3,perk1Var3,visionWardsBoughtInGame,totalDamageDealtToChampions,physicalDamageDealtToChampions,perk3Var2,playerScore3,playerScore5,playerScore0,perk4Var1,totalHeal,goldEarned,perk1,sightWardsBoughtInGame,playerScore1,neutralMinionsKilled,item0,perkSubStyle,perkPrimaryStyle,combatPlayerScore,kills,perk4Var2,deaths,trueDamageDealtToChampions,wardsKilled,largestKillingSpree,totalScoreRank,platformId,perk5Var2,turretKills
6644,38,0,6178,11,True,False,50,False,9104,NONE,True,0,8014,1,3144,0,JUNGLE,0,128707,0,0,1313,14698,4,0,3751,0,82,1136,1,8010,0,1532495938761,False,17393,9,0,11,1,8135,2832713485,8143,0,8,639,0,233,0,14,False,3006,475,268,107562,6,0,274,0,2,0,0,470,0,False,24449,3124,0,0,3348,0,12128,0,,8675,0,0,0,17135,0,0,0,17885,9911,0,0,0,0,5,9493,10812,9111,0,0,43,1419,8100,8000,0,5,0,8,7739,,2,0,NA1,0,5
5867,53,1,7131,11,True,False,0,False,9104,NONE,True,0,8014,2,3153,3211,JUNGLE,0,182613,0,0,727,33466,11,2,4198,575,107,141,1,8010,0,1532401784634,False,23698,11,0,11,3,8135,2832141013,8143,19,3,828,0,286,0,16,False,3124,539,491,154716,8,0,913,0,4,3047,0,420,0,False,28705,3022,0,2,3340,0,15460,0,8,14735,0,0,0,21433,0,0,0,20167,13671,0,0,0,0,5,9504,15685,9111,0,0,94,1419,8100,8000,0,15,0,7,6210,0,8,0,NA1,0,2
10437,49,0,13957,11,False,False,40,False,9104,NONE,True,0,8014,1,3512,3111,JUNGLE,0,211553,0,0,2197,16894,9,0,53155,647,156,3044,1,8010,0,1532398542868,False,12145,18,0,24,3,8135,2832079005,8143,17,3,1301,0,5090,0,18,False,3065,689,494,146251,2,0,547,0,2,3742,0,420,0,False,44966,3194,0,33,3340,0,46906,0,9,15075,0,0,0,27964,0,0,0,22293,12141,0,0,0,0,4,12555,16466,9111,0,0,69,1416,8100,8000,0,9,0,9,5061,1,2,0,NA1,0,4
0,54,0,5805,11,False,False,10,False,9104,NONE,False,0,8014,2,3144,1043,JUNGLE,0,98094,0,0,649,8646,0,1,3205,237,47,707,1,8010,0,1532396147123,False,17967,21,0,11,1,8135,2832060727,8143,9,5,687,0,230,0,13,False,3124,357,319,76921,7,0,477,0,3,3006,0,420,0,False,23800,2031,0,5,3340,0,12373,0,5,9675,0,0,0,17287,0,0,0,14078,9137,0,0,0,0,4,7031,10047,9111,0,0,63,1419,8100,8000,0,8,0,10,4710,0,5,0,NA1,0,0
579,54,0,5876,11,False,False,50,False,9104,NONE,False,0,8014,3,3153,3075,JUNGLE,21,224162,0,0,989,9789,0,1,10828,1164,119,10178,1,8010,0,1532393415618,False,33256,12,0,11,6,8135,2832031429,8143,16,7,1487,0,801,0,18,False,3047,1156,723,180077,2,0,424,0,3,3124,0,420,0,True,44597,3143,0,9,3340,0,33978,0,6,17335,0,0,0,28542,0,0,0,39455,24013,0,0,0,0,5,13062,17076,9111,0,0,69,1419,8100,8000,0,18,0,13,14640,1,4,0,NA1,0,0
3859,48,0,18413,11,False,False,50,False,9104,NONE,False,0,8014,1,3153,3075,JUNGLE,31,240381,0,0,2522,22785,16,0,50864,1213,160,6236,1,8010,0,1532390363575,False,26485,13,0,24,3,8135,2832011775,8143,25,9,1811,0,8335,0,18,False,3124,1117,1159,163032,3,0,750,0,2,3047,0,420,0,False,46997,3143,0,45,3340,3,34603,0,10,17075,0,0,0,22347,0,0,0,33163,19200,0,0,0,0,5,13937,18905,9111,0,0,91,1416,8100,8000,0,12,0,12,5626,0,2,0,NA1,0,1
7272,45,0,13770,11,False,False,50,False,9104,NONE,False,0,8014,0,3111,1033,JUNGLE,0,145993,0,0,1660,13703,13,0,25311,536,93,1157,1,8010,0,1532384358107,False,14551,14,0,24,1,8135,2831955077,8143,3,1,538,0,4436,0,14,False,3065,590,459,106129,2,0,434,0,1,3211,0,420,0,False,29425,3124,0,21,3340,0,22057,0,1,11625,0,0,0,14497,0,0,0,20032,11476,0,0,0,0,5,7309,12193,9111,0,0,71,1412,8100,8000,0,7,0,10,4119,0,2,0,NA1,0,3
950,40,0,1904,11,False,,50,False,9104,NONE,False,0,8014,2,3047,1052,JUNGLE,0,83627,0,0,256,11106,5,0,16889,538,44,156,1,8010,0,1532382823541,False,6318,15,0,24,1,8135,2831951130,8143,17,0,387,0,1520,0,11,,1043,305,138,60419,5,0,1090,0,2,1037,0,420,0,False,13361,2031,0,10,3340,0,6765,0,3,6185,0,0,0,11301,0,0,0,7154,4528,0,0,0,0,4,5786,7192,9111,0,0,72,1412,8100,8000,0,5,0,2,1105,5,5,0,NA1,0,0
7778,68,0,7980,11,True,True,0,False,9104,NONE,True,0,8014,2,3146,3211,JUNGLE,0,174274,0,0,1410,40784,5,0,36122,483,53,1932,1,8010,0,1532380470889,False,11229,12,0,24,4,8135,2831935293,8143,17,6,1350,0,5141,0,17,False,3124,930,628,126920,7,0,883,0,2,3047,0,420,0,False,29075,3143,0,20,3340,2,22728,0,5,14675,0,0,0,19161,0,0,0,24461,14836,0,0,0,0,5,13705,17153,9111,0,0,108,1412,8100,8000,0,15,0,4,4483,1,6,0,NA1,0,4
2839,70,0,5408,11,True,True,10,False,9104,NONE,True,0,8014,2,3153,0,JUNGLE,0,170088,0,0,1231,12735,28,1,6187,3,58,1151,1,8010,0,1532330631499,False,13269,16,0,11,2,8135,2831466786,8143,0,3,727,0,252,0,16,False,3006,406,365,150631,5,0,866,0,3,3124,0,470,0,False,24667,2031,0,0,3348,1,11717,0,,10375,0,0,0,18107,0,0,0,19280,12709,0,0,0,0,5,12156,12254,9111,0,0,99,1419,8100,8000,0,8,0,4,6319,,3,0,NA1,0,1
